cell,condition,category,batch,T,baseline_empty,baseline_empty_pct,finetuned_empty,finetuned_empty_pct,delta_empty_pct,mean_iou_base_vs_fine,baseline_mean_area,finetuned_mean_area
ki1/12,ki,1,low,180,0,0.0,0,0.0,0.0,0.9368824629755017,5268.416666666667,5038.7
ki1/23,ki,1,low,180,0,0.0,0,0.0,0.0,0.9346021891479345,5391.8388888888885,5257.627777777778
ki1/25,ki,1,low,180,0,0.0,0,0.0,0.0,0.9180058265427972,4494.988888888889,4198.383333333333
ki1/3,ki,1,low,180,0,0.0,0,0.0,0.0,0.898699213640285,3220.983333333333,3558.3277777777776
ki1/7,ki,1,low,180,0,0.0,0,0.0,0.0,0.888374761571319,2259.072222222222,2526.7277777777776
ki2/10,ki,2,high,360,0,0.0,0,0.0,0.0,0.9017998364742084,6823.052777777778,6251.772222222222
ki2/19,ki,2,high,147,2,1.3605442176870748,0,0.0,-1.3605442176870748,0.9276884947539777,4367.055172413793,4586.244897959184
ki2/24,ki,2,high,360,2,0.5555555555555556,2,0.5555555555555556,0.0,0.8396626350160137,9438.399441340782,8154.027932960894
ki2/34,ki,2,high,360,0,0.0,0,0.0,0.0,0.9484330752739554,4756.491666666667,4853.269444444444
ki2/4,ki,2,high,240,13,5.416666666666667,0,0.0,-5.416666666666667,0.8059387315254658,5426.832599118943,5887.979166666667
ko1/16,ko,1,low,180,15,8.333333333333332,0,0.0,-8.333333333333332,0.8211822934539388,7694.921212121212,6517.572222222222
ko1/22,ko,1,low,180,0,0.0,0,0.0,0.0,0.8260826621033011,6933.138888888889,6019.127777777778
ko1/26,ko,1,low,90,1,1.1111111111111112,0,0.0,-1.1111111111111112,0.9330749345625726,7715.393258426966,7490.7
ko1/4,ko,1,low,60,57,95.0,5,8.333333333333332,-86.66666666666667,0.8244478999984683,11619.333333333334,9095.4
ko1/8,ko,1,low,120,60,50.0,0,0.0,-50.0,0.7341257539601869,11051.566666666668,10599.291666666666
ko2/ko1,ko,2,high,195,0,0.0,0,0.0,0.0,0.8580645285704426,5263.358974358975,5300.589743589743
ko2/ko11,ko,2,high,159,0,0.0,0,0.0,0.0,0.8945958956432393,8847.522012578616,8128.37106918239
ko2/ko27,ko,2,high,360,2,0.5555555555555556,0,0.0,-0.5555555555555556,0.859443940607427,5947.2597765363125,5869.913888888889
ko2/ko30,ko,2,high,360,0,0.0,0,0.0,0.0,0.8964853899382127,4499.336111111111,4655.5888888888885
ko2/ko5,ko,2,high,360,0,0.0,0,0.0,0.0,0.9003949387387625,6060.080555555555,6236.283333333334
wt1/12,wt,1,low,180,13,7.222222222222221,0,0.0,-7.222222222222221,0.711980988054877,6768.760479041916,6318.3388888888885
wt1/26,wt,1,low,180,0,0.0,0,0.0,0.0,0.8709377033568578,6327.233333333334,5610.9
wt1/33,wt,1,low,81,8,9.876543209876543,0,0.0,-9.876543209876543,0.7267201570522174,7742.506849315068,7584.407407407408
wt1/37,wt,1,low,80,1,1.25,1,1.25,0.0,0.8530933581640844,7779.430379746836,6692.455696202532
wt1/4,wt,1,low,180,0,0.0,0,0.0,0.0,0.8030065381394593,9117.43888888889,7325.844444444445
wt2/wt10,wt,2,high,360,0,0.0,0,0.0,0.0,0.8170190690448667,4324.05,4429.675
wt2/wt14,wt,2,high,345,0,0.0,0,0.0,0.0,0.931739332448316,4368.536231884058,4425.04347826087
wt2/wt18,wt,2,high,77,0,0.0,0,0.0,0.0,0.8910343775265229,9916.0,8843.337662337663
wt2/wt23,wt,2,high,240,2,0.8333333333333334,0,0.0,-0.8333333333333334,0.9112492724794,4678.59243697479,4908.016666666666
wt2/wt4,wt,2,high,67,0,0.0,0,0.0,0.0,0.81998898479939,7879.850746268657,7520.0
