cell,condition,category,batch,T,n_valid_pairs,mean_iou,median_iou,mean_dice,mean_centroid_dist_px,mean_boundary_iou,mean_hausdorff_95_px
ki1/12,ki,1,low,180,180,0.8957700196000296,0.8983012252495761,0.9446131134398601,1.5038072603720738,0.04968316454789802,5.471766228322045
ki1/23,ki,1,low,180,180,0.8846047394728923,0.908380459758036,0.9356408417205747,2.578768480594939,0.05479054150271476,8.26683933665041
ki1/25,ki,1,low,180,180,0.8470274356732568,0.8649955245935694,0.9156266503296332,2.042933058641254,0.024615730210555378,10.226776300816484
ki1/3,ki,1,low,180,180,0.9314521830296482,0.9388518221459803,0.9641120713387099,0.8588167273168291,0.20453161023558736,10.95092358948467
ki1/7,ki,1,low,180,180,0.9377248928077468,0.9416906318082789,0.9677155083692092,0.7712921618521625,0.21200964245004586,2.5811188376212004
ki2/10,ki,2,high,360,360,0.7755794683923866,0.7701865757043788,0.8723195695535088,2.5562760345143594,0.004573566785020371,11.392189158430877
ki2/19,ki,2,high,147,145,0.915544340556683,0.9389140271493213,0.9531174123869279,1.215532629337906,0.12752142561748536,4.843322414094515
ki2/24,ki,2,high,360,358,0.7106134422966484,0.7153059333062501,0.8269306535833115,5.3885465572350855,0.0033837751379709713,27.45832275473925
ki2/34,ki,2,high,360,360,0.8630316017471761,0.8687173102604051,0.9251423091948497,2.3712290282401858,0.10566211951719874,20.89125521219695
ki2/4,ki,2,high,240,227,0.734694957373907,0.8115419296663661,0.8272920524129155,9.889075923546603,0.02153058170886111,22.4348007304239
ko1/16,ko,1,low,180,165,0.6289257094987257,0.8431654676258993,0.6920011139332919,27.72192689719936,0.04281895161351196,79.9146334750848
ko1/22,ko,1,low,180,180,0.8048171991061648,0.8022934819572192,0.8888575945125099,6.071387604408794,0.04605360982157876,17.33340421900728
ko1/26,ko,1,low,90,89,0.9138891385204281,0.9164212592904221,0.9548407615200684,1.542571327050868,0.07364660833732499,5.648935893667282
ko1/4,ko,1,low,60,3,0.7663750183122443,0.8060614390763522,0.8663778472812814,11.789290374959002,0.043022716275836405,30.08501333536149
ko1/8,ko,1,low,120,60,0.7623285188632788,0.8707523923355383,0.8134618777967048,13.235406465025019,0.042840987192625975,27.782624821564898
ko2/ko1,ko,2,high,195,195,0.7665457969191193,0.7588665122081626,0.8652308227640337,3.0227340331612456,0.031408639627165856,12.599981957250144
ko2/ko11,ko,2,high,159,159,0.8500859356354937,0.8820598006644518,0.9168105675433771,3.191362788945985,0.02402757068697994,9.58371656424544
ko2/ko27,ko,2,high,360,358,0.7813550006321816,0.790236381271476,0.8741388642421801,3.5456420937337767,0.024732867968639806,11.769821968987547
ko2/ko30,ko,2,high,360,360,0.8177647183816791,0.8211135449901616,0.8985472110984344,2.7654752932328797,0.02536411319951032,10.970836694212835
ko2/ko5,ko,2,high,360,360,0.7974657534269931,0.8028948206382325,0.8863885590097322,2.392871960334516,0.023852660209038905,12.92526938045725
wt1/12,wt,1,low,180,167,0.668723088858859,0.5372316126084971,0.7810985693887754,13.228275088277305,0.06136348871384619,31.882797108980462
wt1/26,wt,1,low,180,180,0.8330575455427196,0.8547401593667829,0.9069422285505477,4.200805555628596,0.026447697911029498,13.325993932484936
wt1/33,wt,1,low,81,73,0.7311614476139954,0.8257213835276133,0.8014979852635684,12.811737756461115,0.05106807428814311,29.975308588990735
wt1/37,wt,1,low,80,79,0.8702358025304938,0.8815706143128562,0.9300121067179075,4.340155834401067,0.07480634047677763,13.64177090252299
wt1/4,wt,1,low,180,180,0.8396769494936892,0.8469949305992482,0.911810850356464,5.191640017724651,0.05373448692052855,15.127708237009408
wt2/wt10,wt,2,high,360,360,0.7272885626246206,0.7381140886959086,0.8340705791200135,8.606265250420822,0.0743610160628422,22.38153205680272
wt2/wt14,wt,2,high,345,345,0.8846928560577302,0.8998312948123155,0.9353945433868095,1.5880783105204304,0.05214006717678296,10.185975167005692
wt2/wt18,wt,2,high,77,77,0.8227293805366179,0.8262436914203316,0.9024599904505075,1.3568585247010045,0.0032275159945544607,15.552004962195166
wt2/wt23,wt,2,high,240,238,0.853960591378464,0.8680476816210762,0.9165043755599394,4.11062198426791,0.051872103122120226,16.033643038661165
wt2/wt4,wt,2,high,67,67,0.7453619033517209,0.7941715916038312,0.830241353556926,7.537888677918698,0.010580977667740134,20.21904838523092
