batch,cell,folder,condition,T,n_empty,empty_rate
1,ki1/12,ki1,ki,180,0,0.0
1,ki1/23,ki1,ki,180,0,0.0
1,ki1/25,ki1,ki,180,0,0.0
1,ki1/3,ki1,ki,180,0,0.0
1,ki1/7,ki1,ki,180,0,0.0
1,ki2/10,ki2,ki,360,0,0.0
1,ki2/19,ki2,ki,147,0,0.0
1,ki2/24,ki2,ki,360,2,0.005555555555555556
1,ki2/34,ki2,ki,360,0,0.0
1,ki2/4,ki2,ki,240,0,0.0
1,ko1/16,ko1,ko,180,0,0.0
1,ko1/22,ko1,ko,180,0,0.0
1,ko1/26,ko1,ko,90,0,0.0
1,ko1/4,ko1,ko,60,5,0.08333333333333333
1,ko1/8,ko1,ko,120,0,0.0
1,ko2/ko1,ko2,ko,195,0,0.0
1,ko2/ko11,ko2,ko,159,0,0.0
1,ko2/ko27,ko2,ko,360,0,0.0
1,ko2/ko30,ko2,ko,360,0,0.0
1,ko2/ko5,ko2,ko,360,0,0.0
1,wt1/12,wt1,wt,180,0,0.0
1,wt1/26,wt1,wt,180,0,0.0
1,wt1/33,wt1,wt,81,0,0.0
1,wt1/37,wt1,wt,80,1,0.0125
1,wt1/4,wt1,wt,180,0,0.0
1,wt2/wt10,wt2,wt,360,0,0.0
1,wt2/wt14,wt2,wt,345,0,0.0
1,wt2/wt18,wt2,wt,77,0,0.0
1,wt2/wt23,wt2,wt,240,0,0.0
1,wt2/wt4,wt2,wt,67,0,0.0
2,ki1/1,ki1,ki,180,0,0.0
2,ki1/14,ki1,ki,180,0,0.0
2,ki1/16,ki1,ki,180,0,0.0
2,ki1/29,ki1,ki,180,0,0.0
2,ki1/5,ki1,ki,180,0,0.0
2,ki2/15,ki2,ki,163,0,0.0
2,ki2/20,ki2,ki,160,0,0.0
2,ki2/3,ki2,ki,180,0,0.0
2,ki2/30,ki2,ki,220,0,0.0
2,ki2/36,ki2,ki,60,0,0.0
2,ko1/14,ko1,ko,180,2,0.011111111111111112
2,ko1/18,ko1,ko,112,0,0.0
2,ko1/2,ko1,ko,72,0,0.0
2,ko1/20,ko1,ko,127,0,0.0
2,ko1/7,ko1,ko,106,30,0.2830188679245283
2,ko2/ko10,ko2,ko,234,0,0.0
2,ko2/ko15,ko2,ko,360,0,0.0
2,ko2/ko20,ko2,ko,293,0,0.0
2,ko2/ko28,ko2,ko,360,4,0.011111111111111112
2,ko2/ko3,ko2,ko,360,0,0.0
2,wt1/16,wt1,wt,180,0,0.0
2,wt1/20,wt1,wt,180,0,0.0
2,wt1/23,wt1,wt,145,13,0.0896551724137931
2,wt1/34,wt1,wt,180,0,0.0
2,wt1/7,wt1,wt,180,26,0.14444444444444443
2,wt2/wt12,wt2,wt,70,0,0.0
2,wt2/wt15,wt2,wt,345,0,0.0
2,wt2/wt21,wt2,wt,215,0,0.0
2,wt2/wt25,wt2,wt,150,0,0.0
2,wt2/wt8,wt2,wt,330,0,0.0
