cell,condition,category,batch,T,n_valid_frames,mean_lam_I,mean_cyto_I,mean_lam_to_cyto_I_ratio,std_lam_to_cyto_I_ratio
ki1/12,ki,1,low,180,180,456.837567308214,242.72000571356878,1.8933186829424389,0.17261887555626168
ki1/23,ki,1,low,180,180,210.5409893459744,176.6142979092068,1.191666670287321,0.05923165721346225
ki1/25,ki,1,low,180,180,407.5854183620877,201.037375386556,2.01482865196976,0.2861149771130794
ki1/3,ki,1,low,180,180,319.83661829630535,198.21599875556097,1.5802617122093738,0.49797543539259154
ki1/7,ki,1,low,180,180,480.2025605943468,252.15704727172852,1.9214833097767043,0.1582738427944181
ki2/10,ki,2,high,360,360,832.0884113735623,509.03984366522894,1.5813590343706032,0.5962296082415269
ki2/19,ki,2,high,147,147,1316.2251773756377,549.1330470909066,2.407720457875107,0.46078489395711225
ki2/24,ki,2,high,360,360,956.5314333597819,555.2955568101671,1.712432181305142,0.4057039607154876
ki2/34,ki,2,high,360,360,1241.6809660169813,570.9588479783799,2.209890235359574,0.43548005890937824
ki2/4,ki,2,high,240,240,1590.1274358113608,714.082930501302,2.245475292088892,0.1752299578488319
ko1/16,ko,1,low,180,122,214.12223678338722,186.4717122062308,1.1454618804328607,0.060794227844887694
ko1/22,ko,1,low,180,180,281.107265218099,203.63272043863932,1.372580417018727,0.1554481446384518
ko1/26,ko,1,low,90,90,363.7622855292426,243.07752346462672,1.5011088200251288,0.10730179915390455
ko1/4,ko,1,low,60,4,317.3627166748047,233.9247169494629,1.3560600024712814,0.043348951981459764
ko1/8,ko,1,low,120,120,343.64332478841146,223.7868158976237,1.547726237755169,0.12934829088989444
ko2/ko11,ko,2,high,159,159,850.8559439797071,665.1002358490566,1.2791372585919896,0.28401186051907906
ko2/ko1,ko,2,high,195,195,1909.9790674454127,718.5044205103165,2.784041443321966,0.49986922919236154
ko2/ko27,ko,2,high,360,360,598.9111266242134,526.8267238193088,1.1425706726408358,0.1426110075664508
ko2/ko30,ko,2,high,360,360,1260.450261094835,673.163717397054,1.9208360884086808,0.2562201769917163
ko2/ko5,ko,2,high,360,360,543.5098553127713,426.6421755472819,0.9644338529813296,0.3678195434813688
wt1/12,wt,1,low,180,164,249.28364656029677,209.023766773503,1.1885410487012735,0.0861297828235237
wt1/26,wt,1,low,180,180,358.83790486653646,223.48047281901043,1.5923645919222527,0.20592252164394254
wt1/33,wt,1,low,81,79,249.1376785085171,193.6786300079732,1.284700918358059,0.1065031845122514
wt1/37,wt,1,low,80,80,318.8275173187256,219.12222728729247,1.4519035088899734,0.10425499406763525
wt1/4,wt,1,low,180,180,298.41011242336697,207.63572862413196,1.4308170203602004,0.17001801718275728
wt2/wt10,wt,2,high,360,360,623.7421161227757,502.14294543796115,1.2608691186043317,0.23755630354226623
wt2/wt14,wt,2,high,345,345,745.6310265582541,503.506323772928,1.4967613472171726,0.5771198393057763
wt2/wt18,wt,2,high,77,77,1068.4438357662846,609.39367992847,1.746163543161859,0.15854480378776384
wt2/wt23,wt,2,high,240,240,1516.0843086242676,639.3870221455892,2.4192816210306005,0.6126568963673145
wt2/wt4,wt,2,high,67,67,1521.054244767374,890.0001111386428,1.7207361894114388,0.18787404990857104
