cell,condition,category,batch,T,n_valid_frames,mean_mask_area,mean_lam_area,mean_cyto_area,mean_lam_I,mean_cyto_I,mean_lam_to_cyto_I_ratio,std_lam_to_cyto_I_ratio,mean_threshold
ki1/12,ki,1,low,180,180,5038.7,2528.25,2510.45,459.9958424886068,253.94531521267362,1.8254284447781806,0.2017722966672619,339.76944444444445
ki1/23,ki,1,low,180,180,5257.627777777778,2734.927777777778,2522.7,207.49989649454753,177.00896199544272,1.1719275120654538,0.05426329473328041,188.61111111111111
ki1/25,ki,1,low,180,180,4198.383333333333,2118.1111111111113,2080.2722222222224,391.33212127685545,200.357032945421,1.935607800588918,0.3615896015631227,248.36111111111111
ki1/3,ki,1,low,180,180,3558.3277777777776,1820.7888888888888,1737.5388888888888,314.7649400499132,198.00990575154623,1.5557392385094078,0.5066079629481133,227.70833333333334
ki1/7,ki,1,low,180,180,2526.7277777777776,1266.5722222222223,1260.1555555555556,490.7549546983507,274.5584360758464,1.8307699945230973,0.23679252036090098,364.1333333333333
ki2/10,ki,2,high,360,360,6251.772222222222,3183.9527777777776,3067.8194444444443,816.8207032945421,518.9457830641005,1.526394017297756,0.5703753529039242,620.7652777777778
ki2/19,ki,2,high,147,147,4586.244897959184,2306.3537414965986,2279.891156462585,1263.2851861447705,550.6435825062447,2.3067974493945766,0.5636869808801438,596.8265306122449
ki2/24,ki,2,high,360,358,8154.027932960894,4106.949720670391,4047.078212290503,998.4198087553738,570.0614008557197,1.7428079750839962,0.4192786946975099,676.75
ki2/34,ki,2,high,360,360,4853.269444444444,2437.25,2416.0194444444446,1271.9549009535049,589.3922365824382,2.1934913363617383,0.4959290115560334,754.5013888888889
ki2/4,ki,2,high,240,240,5887.979166666667,2947.5333333333333,2940.445833333333,1590.5018040974935,737.0327624003093,2.1810679196757925,0.22249328873445837,1104.3958333333333
ko1/16,ko,1,low,180,180,6517.572222222222,3413.1666666666665,3104.4055555555556,218.34370854695638,187.28012296888562,1.1637130441405927,0.06549094863686937,200.10833333333332
ko1/22,ko,1,low,180,180,6019.127777777778,3049.6388888888887,2969.488888888889,291.6109800550673,206.42293599446614,1.4055455482216817,0.14912436114311195,231.69722222222222
ko1/26,ko,1,low,90,90,7490.7,3770.7444444444445,3719.9555555555557,362.92509189181857,248.73190036349826,1.4660777575342314,0.11782856407458107,303.8333333333333
ko1/4,ko,1,low,60,55,9095.4,4586.981818181818,4508.418181818181,315.9179471102628,236.01496526544744,1.3398652027812583,0.04175673741111124,272.6181818181818
ko1/8,ko,1,low,120,120,10599.291666666666,5331.3,5267.991666666667,347.5459400177002,235.23858884175618,1.494271697779093,0.1665752394397287,282.1
ko2/ko11,ko,2,high,159,159,8128.37106918239,4206.874213836478,3921.496855345912,852.3339394623379,669.3115554905537,1.2730397238725597,0.28141221364262936,738.4811320754717
ko2/ko1,ko,2,high,195,195,5300.589743589743,2652.892307692308,2647.6974358974358,1920.4132374298879,778.3335122132912,2.6167746062005484,0.5390112615404826,1227.1538461538462
ko2/ko27,ko,2,high,360,360,5869.913888888889,3291.822222222222,2578.0916666666667,592.2693368699815,526.9507652282715,1.1287400384340995,0.11303518503672702,550.9236111111111
ko2/ko30,ko,2,high,360,360,4655.5888888888885,2333.9666666666667,2321.6222222222223,1262.1963773939344,690.0888977050781,1.8804254330047936,0.2684954223348634,895.5583333333333
ko2/ko5,ko,2,high,360,360,6236.283333333334,3872.211111111111,2364.072222222222,540.7933519999186,425.38358942667645,0.9592435516905541,0.3643987467419235,519.8291666666667
wt1/12,wt,1,low,180,180,6318.3388888888885,3248.7166666666667,3069.6222222222223,248.35623253716363,208.063013543023,1.1902401879741298,0.08082473602396918,225.93333333333334
wt1/26,wt,1,low,180,180,5610.9,2828.3611111111113,2782.538888888889,371.727380794949,235.587912495931,1.5797656708581018,0.1771750389624549,284.5472222222222
wt1/33,wt,1,low,81,81,7584.407407407408,3849.0,3735.4074074074074,260.59492040563515,196.94863627869407,1.3203213949643824,0.1145350713143416,216.22222222222223
wt1/37,wt,1,low,80,79,6692.455696202532,3372.3797468354433,3320.0759493670885,342.5005562697785,226.60921565188636,1.5083462939593355,0.09130777338674731,259.4810126582278
wt1/4,wt,1,low,180,180,7325.844444444445,3699.5444444444443,3626.3,310.0324878268772,213.09285117255317,1.4486270972986532,0.16155676925958448,246.05277777777778
wt2/wt10,wt,2,high,360,360,4429.675,2249.461111111111,2180.213888888889,585.1496518452963,500.1662044101291,1.1797963200820916,0.1777425031870484,524.3208333333333
wt2/wt14,wt,2,high,345,345,4425.04347826087,2240.026086956522,2185.0173913043477,708.9360001273777,502.87901098278985,1.4233835943211854,0.5652823427819959,530.331884057971
wt2/wt18,wt,2,high,77,77,8843.337662337663,4441.896103896104,4401.441558441558,1076.6574136312906,611.0725834834111,1.7531934916534428,0.16633154724826735,657.8116883116883
wt2/wt23,wt,2,high,240,240,4908.016666666666,2464.0375,2443.9791666666665,1495.2173683166504,687.1330570220947,2.2063202961851953,0.7110848941603348,911.0791666666667
wt2/wt4,wt,2,high,67,67,7520.0,3763.686567164179,3756.313432835821,1530.0187824306204,918.3746784267141,1.6942984205317604,0.2397253387529144,1214.3208955223881
