cell,condition,category,batch,T,n_valid_frames,mean_mask_area,mean_lam_area,mean_cyto_area,mean_lam_I,mean_cyto_I,mean_lam_to_cyto_I_ratio,std_lam_to_cyto_I_ratio,mean_threshold
ki1/14,ki,1,low,180,180,3899.6555555555556,1957.2222222222222,1942.4333333333334,512.9739752875435,276.3366492377387,1.8906332338250988,0.286138803875806,368.2888888888889
ki1/16,ki,1,low,180,180,4925.611111111111,2562.4222222222224,2363.188888888889,214.91833953857423,185.29971279568142,1.1593173090128257,0.06304691123109334,197.54166666666666
ki1/1,ki,1,low,180,180,3516.0666666666666,1761.911111111111,1754.1555555555556,596.6464050292968,309.8329583062066,1.9431406274270335,0.18077405434385665,475.0
ki1/29,ki,1,low,180,180,4494.566666666667,2259.95,2234.616666666667,474.8512193467882,229.46631757948134,2.0587357551035645,0.3635439606926296,312.175
ki1/5,ki,1,low,180,180,5457.211111111111,2739.677777777778,2717.5333333333333,364.5138007269965,218.71488469441732,1.6679432990475953,0.04777057653178115,273.8666666666667
ki2/15,ki,2,high,163,163,7485.39263803681,3754.2147239263804,3731.1779141104294,1047.1263262976897,607.5156860351562,1.729103272006523,0.09831752122731817,763.1564417177914
ki2/20,ki,2,high,160,160,5174.65,2591.1625,2583.4875,1304.8778270721436,695.2236072540284,1.8969798913107219,0.1570954770771017,835.2625
ki2/30,ki,2,high,220,220,7105.045454545455,3578.418181818182,3526.6272727272726,1052.9630373868076,569.5588388616388,1.8284851909973023,0.44296215378625586,696.7704545454545
ki2/36,ki,2,high,60,60,6859.483333333334,3441.1833333333334,3418.3,1607.5121704101562,857.6909698486328,1.9157020345079696,0.48674066885919814,1144.5083333333334
ki2/3,ki,2,high,180,180,8952.316666666668,4479.622222222222,4472.694444444444,1278.489034016927,582.9596811930338,2.2069175081228,0.1486432272519746,796.4611111111111
ko1/14,ko,1,low,180,178,6989.842696629214,3571.6853932584268,3418.1573033707864,243.26603081521023,195.9860341790017,1.2409743122334398,0.10407131414834583,210.15168539325842
ko1/18,ko,1,low,112,112,6102.607142857143,3076.4553571428573,3026.151785714286,321.1968292508806,229.21218953813826,1.400893082852002,0.07812792544628966,265.58482142857144
ko1/20,ko,1,low,127,127,5233.5905511811025,2637.834645669291,2595.755905511811,328.54004506989725,232.30968000757412,1.4125297920131326,0.05741225307457324,272.65354330708664
ko1/2,ko,1,low,72,72,6518.763888888889,3287.9305555555557,3230.8333333333335,333.4146022796631,236.26452933417426,1.4079615393631701,0.1224187953236424,276.6458333333333
ko1/7,ko,1,low,106,76,9795.565789473685,4955.421052631579,4840.144736842105,349.4676148264032,232.98104155691047,1.4855719293202723,0.25064970919445156,277.2894736842105
ko2/ko10,ko,2,high,234,234,5881.423076923077,2960.337606837607,2921.08547008547,1259.5622008234009,625.7646823459202,1.9936538064742075,0.7924603011567939,761.6602564102565
ko2/ko15,ko,2,high,360,360,5026.1305555555555,2599.463888888889,2426.6666666666665,892.5598676893446,575.6140295240614,1.554574306672085,0.5360251036751624,672.4722222222222
ko2/ko20,ko,2,high,293,293,7051.815699658703,3527.815699658703,3524.0,2261.215260372227,769.5228929747493,3.2044098558887826,0.9312622258857387,1398.0938566552902
ko2/ko28,ko,2,high,360,356,8449.58988764045,5423.907303370786,3025.682584269663,756.7452894060799,483.7305495872926,1.4289576920540943,0.7471999717347002,577.9845505617977
ko2/ko3,ko,2,high,360,360,7227.913888888889,3709.5777777777776,3518.336111111111,682.1366357591417,532.6872433132595,1.2832036359832757,0.34222233284346065,587.3194444444445
wt1/16,wt,1,low,180,180,7168.227777777778,3599.9444444444443,3568.2833333333333,395.0313563028971,244.35849609375,1.6269085918529094,0.10260651406028648,301.4527777777778
wt1/20,wt,1,low,180,180,6157.127777777778,3093.7722222222224,3063.3555555555554,396.38790300157336,217.35754123263888,1.823288472689142,0.10325707437026925,270.68333333333334
wt1/23,wt,1,low,145,132,8143.575757575758,4122.727272727273,4020.848484848485,296.5620542584044,215.5736424995191,1.3711747584638914,0.11850733603789296,247.1931818181818
wt1/34,wt,1,low,180,180,5536.972222222223,2818.5444444444443,2718.427777777778,275.73428734673394,198.90509923299155,1.3848502213317806,0.15866687614313457,214.94166666666666
wt1/7,wt,1,low,180,154,6628.181818181818,3335.7597402597403,3292.4220779220777,346.9192102605646,247.12257405070517,1.4088982705013722,0.07416370306496997,288.14935064935065
wt2/wt12,wt,2,high,70,70,5951.171428571429,2985.285714285714,2965.885714285714,1225.1914829799107,614.0824820382254,1.9771508524694557,0.49194180791321235,790.8428571428572
wt2/wt15,wt,2,high,345,345,4478.976811594202,2479.791304347826,1999.1855072463768,533.4210454526155,485.043812538921,1.0737155119787243,0.11791632354375679,513.7347826086957
wt2/wt21,wt,2,high,215,215,7443.358139534884,3727.4186046511627,3715.939534883721,1807.8026426803233,821.6421613826308,2.2335075737927332,0.32984409684767807,1356.093023255814
wt2/wt25,wt,2,high,150,150,5134.1866666666665,2582.44,2551.7466666666664,1173.1021948242187,584.3142215983073,1.971726709661388,0.671607564440056,685.3766666666667
wt2/wt8,wt,2,high,330,330,7907.160606060606,4007.4636363636364,3899.6969696969695,622.3680702903054,538.5376829205137,1.1564755090851695,0.082270594057222,562.7636363636364
