cell,condition,category,batch,T,duration_min,median_mask_area,area_threshold,n_valid_frames,n_valid_pairs,n_rejected_area_frames,n_rejected_iou_pairs,mean_speed_um_per_min,median_speed_um_per_min,max_speed_um_per_min,std_speed,total_path_um,net_disp_um,persistence
ki1/1,ki,1,low,180,179.0,3490,1047,180,179,0,0,0.7856656597219754,0.7444928567416493,2.195615900371888,0.4224281539725444,140.6341530902336,14.705436616037321,0.10456518770801021
ki1/14,ki,1,low,180,179.0,3910,1173,180,179,0,0,0.5897770932067852,0.5613511622084171,1.8813557012043784,0.3157947155144431,105.57009968401452,32.08557282462131,0.3039267076630384
ki1/16,ki,1,low,180,179.0,4927,1478,180,179,0,0,0.7559524441066277,0.6997175207023059,1.6102393284591525,0.33602697191524017,135.3154874950864,78.07241502094449,0.5769658482276796
ki1/29,ki,1,low,180,179.0,4494,1348,180,179,0,0,0.6375220160705508,0.6010195815475287,1.6207928354389618,0.33423339495149407,114.11644087662862,38.32622457805307,0.33585190953762384
ki1/5,ki,1,low,180,179.0,5416,1624,180,179,0,0,0.6383742472223383,0.528320976130159,2.246943056985056,0.43166505896020757,114.26899025279855,1.5072038216204904,0.013189963596301034
ki2/15,ki,2,high,163,162.0,7368,2210,163,162,0,0,0.7310535030679126,0.6268949485256381,2.4073633606401086,0.44196632264078944,118.43066749700182,29.863018846543493,0.25215613048283714
ki2/20,ki,2,high,160,159.0,5174,1552,160,159,0,0,0.5959080189152556,0.5445904065936077,2.161167622079229,0.3664510391555904,94.74937500752563,30.30135922778374,0.31980537312649293
ki2/3,ki,2,high,180,179.0,9010,2703,180,179,0,0,0.7125003914182849,0.6342137048795214,2.4871157405628384,0.43387527763466,127.53757006387299,29.134832505982615,0.22844117612866072
ki2/30,ki,2,high,220,219.0,6905,2071,220,219,0,0,0.7742137868687974,0.6504737062455948,3.3881805897534147,0.548660053360046,169.55281932426666,67.49075712207359,0.3980515180523112
ki2/36,ki,2,high,60,59.0,6892,2067,60,59,0,0,0.9347150741799413,0.8810165757094295,2.2142425936801793,0.4870793614497583,55.14818937661653,39.722320868325944,0.7202833187696398
ko1/14,ko,1,low,180,179.0,6905,2071,178,175,2,0,1.1780785798742395,1.0922181733798653,5.205671685752619,0.6916064125972037,206.16375147799192,66.66380844174863,0.32335368348623117
ko1/18,ko,1,low,112,111.0,6088,1826,112,111,0,0,0.9994854357788433,0.8477490320567114,3.26395982040795,0.6516911809032138,110.9428833714516,26.08175444620979,0.23509173056990587
ko1/2,ko,1,low,72,71.0,6503,1951,72,71,0,0,1.3688746969811487,1.36018393079137,3.6823603087855465,0.8013240871267197,97.19010348566155,41.67275596458923,0.42877571347310284
ko1/20,ko,1,low,127,126.0,5213,1563,127,126,0,0,0.9801435570720652,0.8852420994628163,2.8817294517780008,0.5359259679193236,123.49808819108023,28.86250174604896,0.23370808543523333
