cell,condition,category,batch,T,duration_min,median_mask_area,area_threshold,n_valid_frames,n_valid_pairs,n_rejected_area_frames,n_rejected_iou_pairs,mean_speed_um_per_min,median_speed_um_per_min,max_speed_um_per_min,std_speed,total_path_um,net_disp_um,persistence
ki1/12,ki,1,low,180,179.0,5022,1506,180,179,0,0,0.7180078628102339,0.6797604855282403,2.0951406861448216,0.3652135384373108,128.52340744303189,29.63667902668092,0.230593629723188
ki1/23,ki,1,low,180,179.0,5241,1572,180,179,0,0,0.8240572067338087,0.7445511966135194,3.8478136617823546,0.44998428905129284,147.50624000535174,78.90771782756762,0.5349449475812328
ki1/25,ki,1,low,180,179.0,4147,1244,180,179,0,0,0.6618493287303346,0.6097055334303839,2.7326650785402262,0.3676967707966525,118.47102984272992,30.16831830757281,0.2546472192199325
ki1/3,ki,1,low,180,179.0,3526,1057,180,179,0,0,0.7670306250739843,0.7567174896230606,1.7553956949087945,0.34165859742784604,137.29848188824317,83.56199636360569,0.6086155885658127
ki1/7,ki,1,low,180,179.0,2516,754,180,179,0,0,0.5903803256043125,0.5033819007648572,2.368026742208901,0.3804941502180513,105.67807828317193,17.540099776060313,0.16597671022234495
ki2/10,ki,2,high,360,359.0,6254,1876,360,359,0,0,0.7147209611826175,0.6301408629455465,3.035601305957505,0.4627656016897273,256.5848250645597,95.48732757743267,0.37214721312301674
ki2/19,ki,2,high,147,146.0,4495,1348,147,146,0,0,0.5916596626348464,0.5315046730353878,1.7314247222861214,0.349488298231525,86.38231074468759,22.88638768790004,0.2649429899547753
ki2/24,ki,2,high,360,359.0,7955,2386,358,355,2,0,0.7308630492318017,0.5893169833408068,9.051184598525968,0.7231927580720412,259.45638247728954,70.99841585797365,0.2736429729732635
ki2/34,ki,2,high,360,359.0,4860,1458,360,359,0,0,0.5782229586913166,0.5171089859502631,1.7593263178343286,0.3359294526072555,207.58204217018266,41.12692088695304,0.19812369344182393
ki2/4,ki,2,high,240,239.0,5935,1780,240,239,0,0,0.6111397265359312,0.5360566689760952,1.9009123392006504,0.3767525148376991,146.06239464208755,30.197094791974386,0.20674106340629006
ko1/16,ko,1,low,180,179.0,6577,1973,180,179,0,0,1.1375116769213818,0.9955561164493084,3.735739951403419,0.6847298301431671,203.61459016892735,103.92066345521644,0.5103792580335202
ko1/22,ko,1,low,180,179.0,5995,1798,180,179,0,0,1.1729695076810585,0.9090604893280173,4.177294902644098,0.9057648957694064,209.9615418749095,67.13743767119671,0.31976064317148006
ko1/26,ko,1,low,90,89.0,7500,2250,90,89,0,0,0.8342561653795262,0.7808467970763086,2.0255131280271668,0.39885262032516466,74.24879871877782,39.59703076089424,0.5333019718052353
ko1/4,ko,1,low,60,59.0,9372,2811,55,51,5,0,1.4898331764279233,1.1962941848867048,6.414017295306908,1.224346822344596,75.9814919978241,39.37453015420835,0.5182121213852439
ko1/8,ko,1,low,120,119.0,10934,3280,120,116,0,3,0.8028014424651001,0.6481884353892156,9.070667177069364,0.9809045569156524,93.1249673259516,32.63635957913829,0.3504576754900332
ko2/ko1,ko,2,high,195,194.0,5377,1613,195,194,0,0,0.7859838147467062,0.6761809158520884,3.7230653662167805,0.4821824524419642,152.480860060861,29.350952458580842,0.19248942094677157
ko2/ko11,ko,2,high,159,158.0,8242,2472,159,158,0,0,1.6522914794480301,1.2083624074033206,7.079741852358098,1.3031261724827845,261.06205375278876,136.84900374288245,0.5242010540240016
ko2/ko27,ko,2,high,360,359.0,5969,1790,360,359,0,0,1.055255620943915,0.8657356243316462,3.981418437282167,0.6985833414380462,378.8367679188655,70.50092784629399,0.1860984302912039
ko2/ko30,ko,2,high,360,359.0,4647,1394,360,359,0,0,0.8505159739014506,0.7479495663712993,2.996769170643281,0.539353131088021,305.33523463062085,23.98103517909333,0.07854001916321375
ko2/ko5,ko,2,high,360,359.0,6236,1870,360,359,0,0,0.8051902261597917,0.7536038115445891,2.598551137539852,0.41386725180883327,289.0632911913652,171.0398152104393,0.5917036871250726
wt1/12,wt,1,low,180,179.0,6447,1934,180,179,0,0,1.9472299758893024,1.2950700713289653,7.366919881759894,1.8728841686011102,348.55416568418514,85.93790564411826,0.24655538250540984
wt1/26,wt,1,low,180,179.0,5531,1659,180,179,0,0,0.975786368809706,0.779407615569476,4.380105704825349,0.7756144575207395,174.66576001693738,53.35349147718129,0.3054605062377857
wt1/33,wt,1,low,81,80.0,7519,2255,81,80,0,0,1.1913837655457322,1.1335393969518834,3.6075071158527034,0.7095690695983147,95.31070124365854,54.559563223667176,0.5724390074959949
wt1/37,wt,1,low,80,79.0,6666,1999,79,77,1,0,0.9112204162767603,0.8058928236076017,4.1214834828415965,0.6385250753748248,70.16397205331054,39.30134551557569,0.560135698784478
wt1/4,wt,1,low,180,179.0,7289,2186,180,179,0,0,0.8866343674548821,0.743692039080451,2.9924287309511426,0.6241436904573725,158.70755177442393,57.61483654655493,0.3630251736756971
wt2/wt10,wt,2,high,360,359.0,4305,1291,360,359,0,0,0.9439207440910673,0.7201381993325737,5.263456651887911,0.8051606279590415,338.86754712869316,20.451210378828634,0.06035163459031912
wt2/wt14,wt,2,high,345,344.0,4414,1324,345,344,0,0,0.719101748036134,0.6745334260670082,2.71803339729989,0.42589142702763577,247.37100132443013,27.788984788211113,0.11233727736649907
wt2/wt18,wt,2,high,77,76.0,8878,2663,77,76,0,0,0.8125239171461063,0.7125256015529321,3.272606341165777,0.5721614983305059,61.75181770310408,23.06783443152067,0.3735571727204577
wt2/wt23,wt,2,high,240,239.0,4857,1457,240,239,0,0,0.9061470462819776,0.7436683053257847,3.6339412215950695,0.6723907635503406,216.56914406139268,51.54276787294838,0.23799682127541272
wt2/wt4,wt,2,high,67,66.0,7496,2248,67,66,0,0,1.013805854734551,0.8629965305608519,3.154035181889301,0.679495979162524,66.91118641248036,16.092518934080193,0.24050565827478132
