cell,condition,category,batch,T,n_valid_frames,n_valid_pairs,mean_speed_um_per_min,median_speed_um_per_min,max_speed_um_per_min,std_speed,total_path_um,net_disp_um,persistence
ki1/1,ki,1,low,180,180,179,0.9822577553891119,0.8995805621989725,3.9816896373967627,0.5988886024858565,175.82413821465101,13.152526666014973,0.07480501141406422
ki1/14,ki,1,low,180,180,179,0.9459759200082031,0.8367195148316859,2.9129430937445853,0.5234201931894761,169.32968968146838,30.429879378696704,0.17970787896640775
ki1/16,ki,1,low,180,180,179,1.2568447266986698,1.0221355764807096,4.949132286466924,0.8938251663338357,224.97520607906188,74.63070942009765,0.3317285967675503
ki1/29,ki,1,low,180,180,179,0.9164885671147164,0.8460421884744969,2.2538184044380687,0.4838765480443396,164.05145351353423,39.782204865276505,0.24249833825455547
ki1/5,ki,1,low,180,180,179,0.6626896694810093,0.6007186448021208,1.96651840608725,0.3975903485325098,118.62145083710068,0.8480034725409841,0.007148820610072643
ki2/15,ki,2,high,163,163,162,0.7981073106693031,0.740025507840431,2.22863193378375,0.4535729983989223,129.2933843284271,31.534062407454588,0.2438954055634643
ki2/20,ki,2,high,160,160,159,0.8120706506318239,0.7601242888305608,2.4136019843000254,0.4709545045231563,129.11923345046003,30.56928123880149,0.2367523444950608
ki2/3,ki,2,high,180,180,179,0.556927990139685,0.5137656035810293,1.6336326741124692,0.3345920934441151,99.6901102350036,29.312287073921006,0.2940340521724968
ki2/30,ki,2,high,220,220,219,1.011243452917128,0.8962416479914233,4.326814401556375,0.7139630457585904,221.462316188851,69.2223314942721,0.3125693467201123
ki2/36,ki,2,high,60,60,59,1.200680279879484,0.9654175382252345,4.987722749899567,0.862432722188296,70.84013651288956,36.64590416631746,0.5173042567422161
ko1/14,ko,1,low,180,178,175,1.4909141776139323,1.2910893354130173,4.412555803782941,0.9024002719642483,260.90998108243815,67.81062644316555,0.25990046897339597
ko1/18,ko,1,low,112,112,111,0.8715065360995038,0.7748071434923294,3.393622731151003,0.5538616746345065,96.73722550704491,29.099813721118103,0.3008129866097814
ko1/2,ko,1,low,72,72,71,1.5743025200955731,1.3133553207689364,3.8054291965281797,0.906919538813735,111.77547892678568,38.74394338125636,0.34662292439501974
ko1/20,ko,1,low,127,126,124,1.0364408227606794,1.01761285707579,2.472245524044804,0.5223826903653459,128.51866202232424,29.70823137338811,0.2311588909027676
ko1/7,ko,1,low,106,82,77,2.250089858448561,1.8310927576041913,7.786342356064384,1.6505825858381542,173.2569191005392,80.69651551628645,0.4657621521565849
ko2/ko10,ko,2,high,234,234,233,1.3322401576239258,1.2529407250527944,4.713954037465629,0.7043653088093296,310.4119567263746,82.95754552539064,0.267249839214528
ko2/ko15,ko,2,high,360,360,359,0.690286697958605,0.6542353282216188,2.419994877855369,0.35897014283795153,247.8129245671392,45.6700042368328,0.18429226125556486
ko2/ko20,ko,2,high,293,293,292,0.6001659061241584,0.5477745731807597,1.8963326663786877,0.32365069235719884,175.24844458825424,24.56720531255853,0.14018501202837558
ko2/ko28,ko,2,high,360,359,357,1.3680943570428845,1.073928690691457,8.331408608207685,1.2233951727287724,488.4096854643098,198.60128781224017,0.40662847957947146
ko2/ko3,ko,2,high,360,360,359,0.7912793552536772,0.7684604057729829,2.2836594541590123,0.3718727918590669,284.06928853607013,134.3092424260741,0.47280451582156857
wt1/16,wt,1,low,180,180,179,0.7496443864261217,0.7354473605371569,2.280070161634112,0.4129207636369113,134.18634517027576,33.43088565342711,0.2491377614540808
wt1/20,wt,1,low,180,180,179,0.7543628713156626,0.6848782591058321,1.9588609327248923,0.39414329807029946,135.03095396550358,34.277923518757966,0.25385233912747857
wt1/23,wt,1,low,145,120,109,1.2907213362373393,1.2397123737066544,4.480211099980137,0.7682536724923147,140.68862564987,69.42285085674335,0.4934503449448367
wt1/34,wt,1,low,180,178,175,1.2741707042209096,1.000660674978755,4.388541075929596,0.8410499820596535,222.97987323865922,67.2353235609376,0.30153090763027957
wt1/7,wt,1,low,180,154,134,1.4517249027597048,1.2150321801194526,5.327217202310262,0.9142465816736363,194.5311369698004,42.36373046940299,0.21777352011251372
wt2/wt12,wt,2,high,70,70,69,0.6194380137193639,0.5831049306694569,1.4453912990267976,0.32475084327755194,42.74122294663611,22.33920759742481,0.5226618720132571
wt2/wt15,wt,2,high,345,345,344,0.7403754926410007,0.6512484715427006,2.531538606338633,0.43862835762339863,254.68916946850428,34.671186355362806,0.13613137310752574
wt2/wt21,wt,2,high,215,215,214,0.735037548578848,0.6479322565797603,2.4999891728019796,0.45964316658981474,157.29803539587346,38.63746223477678,0.24563219837766892
wt2/wt25,wt,2,high,150,150,149,1.0369766113152241,0.7710668775079742,7.079311717387646,1.0840710254585666,154.50951508596842,45.47163707395443,0.29429667841915247
wt2/wt8,wt,2,high,330,329,327,1.6033116294897989,1.3218562123489785,7.975889241777565,1.2358313477127891,524.2829028431643,95.52461910837887,0.18220052301982928
