cell,condition,category,batch,T,n_valid_frames,n_empty_frames,mean_mask_area,mean_body_area,mean_lam_area,mean_body_I,mean_lam_I,mean_lam_to_body_ratio,slope_lam_area_per_frame,slope_body_area_per_frame,slope_lam_I_per_frame
ki1/12,ki,1,low,180,180,0,5268.416666666667,2643.5222222222224,2624.8944444444446,460.715724351671,251.55968678792317,0.9928646302951964,1.4116598248917132,1.1964340463183056,0.1660869293556701
ki1/23,ki,1,low,180,180,0,5391.8388888888885,2811.488888888889,2580.35,208.13670306735568,176.995203060574,0.9268525746894704,1.0057728119180738,-1.2130559585172471,-0.010495755803858234
ki1/25,ki,1,low,180,180,0,4494.988888888889,2268.4444444444443,2226.5444444444443,385.152097998725,199.54092475043402,0.9804986489835047,3.921129252960492,3.3809603177052834,0.1022394220938194
ki1/3,ki,1,low,180,180,0,3220.983333333333,1650.0833333333333,1570.9,315.6527557373047,199.49562352498373,0.9530770012969088,1.9719394631521574,1.227923701348807,0.174197548247218
ki1/7,ki,1,low,180,180,0,2259.072222222222,1132.4611111111112,1126.611111111111,498.745233323839,286.2617800394694,0.9948552323815838,0.6628640801670833,0.6547949010771982,0.03963886267540601
ki2/10,ki,2,high,360,360,0,6823.052777777778,3483.4055555555556,3339.6472222222224,817.4091008504232,508.2442712571886,0.9635170730210897,1.9504570508517347,1.560078652870262,-0.6296182033505745
ki2/19,ki,2,high,147,145,2,4367.055172413793,2195.613793103448,2171.441379310345,1269.0657462284482,550.8633018756735,0.98877730830719,0.7580511569171291,0.5305772650195503,-0.29892036232624064
ki2/24,ki,2,high,360,358,2,9438.399441340782,4751.343575418994,4687.055865921788,1005.3577208279231,547.9679002815119,0.9844133496528318,-8.959595224535866,-8.481037567530304,-0.8897155704227617
ki2/34,ki,2,high,360,360,0,4756.491666666667,2389.7694444444446,2366.722222222222,1274.6195214165582,594.8972601148818,0.9908533305273365,2.143864793195424,2.198774553301594,-0.6347335469357052
ki2/4,ki,2,high,240,227,13,5426.832599118943,2718.590308370044,2708.2422907488985,1481.19981216229,705.619900741241,0.9941647142756741,5.0227923327453246,4.911291178714618,-0.060198208182249954
ko1/16,ko,1,low,180,165,15,7694.921212121212,4064.539393939394,3630.3818181818183,215.76598575476444,186.1499698523319,0.9084168169696687,-5.044600771360087,-1.358725963426958,-0.07706997776998577
ko1/22,ko,1,low,180,180,0,6933.138888888889,3525.95,3407.188888888889,290.3180342780219,204.91703236897786,0.9702985060395684,4.6203174995113105,5.733900223257916,-0.06299163238444686
ko1/26,ko,1,low,90,89,1,7715.393258426966,3884.7303370786517,3830.6629213483147,364.26022390301307,249.3417828163404,0.9859230652938074,13.32969541503843,12.53104313779261,0.41725045519177306
ko1/4,ko,1,low,60,3,57,11619.333333333334,5840.666666666667,5778.666666666667,307.00408935546875,224.07361348470053,0.9894872534233056,-1.8253424657534116,0.29794520547944,1.2987416411099362
ko1/8,ko,1,low,120,60,60,11051.566666666668,5551.883333333333,5499.683333333333,332.69116058349607,217.78782221476237,0.984416934951648,-10.154284103535634,-10.037336156516224,-0.2902191128900375
ko2/ko11,ko,2,high,159,159,0,8847.522012578616,4573.6163522012575,4273.905660377359,853.669810169148,667.5912606101366,0.9456913302995288,1.9639986864103225,-4.511879030331968,-2.961512972365021
ko2/ko1,ko,2,high,195,195,0,5263.358974358975,2635.358974358974,2628.0,1886.276764072516,755.2309917743389,0.9969017365837122,1.06211461587013,0.9397141886096182,4.3226441991892735
ko2/ko27,ko,2,high,360,358,2,5947.2597765363125,3330.6480446927376,2616.6117318435754,589.8664717008281,527.0810909164685,0.8577012014128211,-2.077158957736586,6.5705570283339885,-0.8440155637018831
