cell,condition,batch,n_frames,n_valid,mean_iou,median_iou,mean_dice,mean_centroid_dist,mean_boundary_iou,mean_hd95,mean_area_ratio
ki1/12,ki,low,180,180,0.4168428328098931,0.43644290595463353,0.5732116637664185,29.582979357284593,0.006973211389546827,39.700177486503215,0.6794270569046172
ki1/23,ki,low,180,135,0.03975371262029006,0.03641594162222846,0.0746521096491876,81.21781198506768,0.003754068651998916,96.370734789249,0.5774649964629799
ki1/25,ki,low,180,180,0.23510133642661155,0.27802633003549493,0.36424009559373144,43.19568152254837,0.004676469469768831,51.08630646763619,0.6780588120611902
ki1/3,ki,low,180,180,0.12304782669093187,0.048188877236990085,0.18984394859754514,75.63333784421101,0.003104680742646327,81.70534562485278,0.7399097694422504
ki1/7,ki,low,180,180,0.47921957382102975,0.4691568119589429,0.6393484812951957,16.97686231154018,0.012361895144624614,26.620761392556552,0.6259800257552594
ko1/22,ko,low,180,180,0.21829220520040182,0.24978594039799745,0.3425624633198305,62.04557804010603,0.0037052565288142455,72.10213695203673,0.7071233892376791
ko2/ko1,ko,high,195,195,0.882116160603206,0.8901226383824992,0.9367081572642799,1.730290935420231,0.04099293522661016,5.970012071255013,0.8842851702846332
ko2/ko11,ko,high,159,159,0.12160503205636658,0.0,0.16472416037164558,116.36736889979484,0.003240087462964475,122.05444318468246,0.7524927878567728
ko2/ko30,ko,high,360,360,0.7556989675980788,0.7723159321501966,0.8591257676204863,2.991996446360399,8.537989968040462e-05,12.234704532951923,0.7557035003126299
wt1/33,wt,low,81,81,0.18607055882563805,0.17781242781242781,0.3004003160209997,69.24082738138024,0.003538285067143647,88.17596516095409,0.5664411342443914
wt1/37,wt,low,80,79,0.2674356943101723,0.26365655070318283,0.4136911642643515,46.715378835816026,0.003882617823450482,60.10522855801918,0.5963741976593727
wt1/4,wt,low,180,180,0.2342259547005971,0.22974802324237065,0.3627532440743633,59.0599006051901,0.0035651144184247704,75.71945803296282,0.6052272487165851
wt2/wt14,wt,high,345,345,0.04621021464430264,0.01990487933767835,0.08255700285650928,68.04962727443251,0.004638533864723379,75.93853495316385,0.6826215615262349
wt2/wt4,wt,high,67,67,0.5470143082341695,0.6141187050359712,0.6906594142852865,24.31483832926752,0.010179489095085986,33.40403983994473,0.75199393061702
